uri,track,duration_ms,album,artist,played_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
spotify:track:4aqaZVU31tQIq5don6wZ66,Right Way Round,204428,We Forgot We Were Dreaming,Saint Raymond,2021-11-03T11:18:54.606Z,0.683,0.875,0,-4.61,0.0364,0.0217,0.0266,0.12,0.646,102.997,"

[Verse 1]
Fading hearts and changing weather
Some for worse and some for better
Stay alive by boxing clever
Just don't let the fear take hold

[Pre-Chorus]
We all need a hideaway
A moment in the dark
Too long in the light of day
Forgetting who we are

[Chorus]
Do you feel all alone
Like your heart's in vertigo?
Lights are on, nobody's home
You've got nowhere left to go
But you better believe me, I've seen it
So many of us up on the ceiling
Think we're hangin' upside down
But maybe we're the right way round

[Verse 2]
Trapped against the raging tide
Piece by piece we come to life
All we ever thought was wrong
Was leading us here, leading us here all along

[Pre-Chorus]
We all need a hideaway
A moment in the dark
Too long in the light of day
Forgetting who we are

[Chorus]
Do you feel all alone
Like your heart's in vertigo?
Lights are on, nobody's home
You've got nowhere left to go
But you better believe me, I've seen it
So many of us up on the ceiling
Think we're hangin' upside down
Maybe we're the right way round

[Post-Chorus]
(Oh-oh, oh-oh, oh-oh-oh)
Maybe we're the right way round
(Oh-oh, oh-oh, oh-oh-oh)
Maybe we're the right way round

[Bridge]
We're not losing all control
We're just learning how to float
And though our hearts aren't made of gold
We glow, we glow
We're not losing all control
We're just learning how to float
And though our hearts aren't made of gold
We glow, we glow

[Chorus]
Do you feel all alone
Like your heart's in vertigo?
Lights are on, nobody's home
You got nowhere left to go
But you better believe me, I've seen it
So many of us up on the ceiling
Think we're hangin' upside down

[Chorus]
Do you feel all alone
Like your heart's in vertigo?
Lights are on, nobody's home
You've got nowhere left to go
But you better believe me, I've seen it
So many of us up on the ceiling
Think we're hangin' upside down
But maybe we're the right way round

[Post-Chorus]
(Oh-oh, oh-oh, oh-oh-oh)
Maybe we're the right way round
(Oh-oh, oh-oh, oh-oh-oh)
Maybe we're the right way round

"
spotify:track:2oiQVeAF4NRrpjWSnCkheB,5150,189293,"Wherever I Go, I Want To Leave",Love Fame Tragedy,2021-11-03T11:15:34.482Z,0.608,0.562,0,-5.63,0.077,0.0756,0.0,0.103,0.66,179.988,"

[Verse 1]
I drove all night to Phoenix, just to blow 15 months rent
She said I was the best, she said I was the best
I got annihilated and DM'ed one of your friends
I hoped it wouldn't send, I hoped it wouldn't send
(Ooh, ooh, ooh)

[Verse 2]
Another anniversary, no diamonds and no date
Birthdays work the same, I'll always be this way
Just because I fuck up doesn't mean I've got no heart
Doesn't mean I've got no heart

[Chorus]
Sorry, but some days aren't so pretty
I wanna hit the brakes, but I hit the gas
I go 5150
Sometimes you wanna change, when you know you can't
5150, 5150

[Verse 3]
Good news never seems to catch on fire like the bad
We tore through Paris, France
But we don't ever talk of that
And just because I fuck up doesn't mean I've got no heart
Doesn't mean I've got no heart

[Chorus]
Sorry, but some days aren't so pretty
I wanna hit the brakes, but I hit the gas
I go 5150
Sometimes you wanna change, when you know you can't
5150, 5150
5150, 5150

[Outro]
(5150) I got annihilated and DM'ed one of your friends
(5150) I saw the blue dot flash and still I left it on unread
(5150) And just because I fuck up doesn't mean I've got no heart
(5150) I drove all night to Phoenix, just to know that we can never be apart

"
spotify:track:3pJQY7UuX0DcE8pgLZhCjf,Indigo Puff,231721,Indigo Puff,Sundara Karma,2021-11-03T11:12:28.482Z,0.585,0.556,2,-5.075,0.0274,0.000686,0.000132,0.151,0.414,142.144,
spotify:track:08tGuOLIGw5uxfMQGQhWtp,Magic Tree And I Let Myself Go,317293,The Orchestral Score From Baz Luhrmann's Film The Great Gatsby,Craig Armstrong,2021-11-03T00:17:25.493Z,0.0596,0.0212,5,-28.408,0.0511,0.872,0.964,0.141,0.0371,62.065,
spotify:track:2hnA4tmaBMisNvz4TOl1Rk,Together Again,173776,Normal People (Original Score from the Television Series),Stephen Rennicks,2021-11-03T00:10:23.548Z,0.2,0.0123,5,-28.86,0.0424,0.951,0.934,0.113,0.0371,64.028,
spotify:track:7bCl1aYUtGmlDaxjfAXcRw,Raelle & Scylla,119701,Motherland: Fort Salem (Original Score),Brandon Roberts,2021-11-03T00:07:33.404Z,0.091,0.126,7,-18.739,0.0368,0.931,0.928,0.0717,0.0358,165.154,
spotify:track:7l3PVZ5pWQxTFdXXEPQOby,Love Story,262502,The Haunting of Bly Manor (Music from the Netflix Horror Series),The Newton Brothers,2021-11-03T00:04:56.141Z,0.16,0.0397,11,-25.116,0.0375,0.85,0.826,0.235,0.0364,68.953,
spotify:track:4Q0VPrw0jgRB7onKAtRnFG,David's Writings,177773,The Personal History of David Copperfield (Original Motion Picture Soundtrack),Christopher Willis,2021-11-03T00:00:37.375Z,0.299,0.357,1,-13.535,0.0325,0.774,0.91,0.143,0.0391,92.314,
spotify:track:7lEfD3Sz6ibitGq0UanGMr,Epilogue,249081,Epilogue,Ólafur Arnalds,2021-11-02T23:55:39.505Z,0.0635,0.0868,8,-15.249,0.0437,0.984,0.873,0.0851,0.068,212.849,
spotify:track:1G2mAZQL8xfy9wRqC6fY6K,A Sparrow Alighted upon our Shoulder,147093,Orphée,Jóhann Jóhannsson,2021-11-02T23:51:34.565Z,0.187,0.109,6,-21.143,0.048,0.938,0.867,0.124,0.0501,139.128,
spotify:track:09OsZ4BlDXp67SKaGBvEUR,Safe Now,192453,Captain Phillips (Original Motion Picture Soundtrack),Henry Jackman,2021-11-02T23:49:03.551Z,0.163,0.0108,2,-21.104,0.0421,0.8,0.81,0.0813,0.0343,130.284,"

[Instrumental]

"
spotify:track:54rywKVtbujn1udyvxs0Wg,The Pier,124346,Never Let Me Go (Original Motion Picture Soundtrack),Rachel Portman,2021-11-02T23:45:54.478Z,0.0874,0.0854,4,-20.936,0.0501,0.983,0.904,0.0541,0.0373,85.218,
spotify:track:7KCKBMIw36yV2ppjfl4Ubw,Palimpsest,115705,The Sound of Silence (Original Motion Picture Soundtrack),Will Bates,2021-11-02T23:03:29.297Z,0.39,0.0151,8,-29.977,0.0363,0.982,0.934,0.105,0.0668,67.984,"

Instrumental

"
spotify:track:6ZKgNecNAfYBhkti1IxwSw,Sofia,437317,Sofia,Askjell,2021-11-01T04:34:41.659Z,0.415,0.216,6,-17.86,0.0439,0.975,0.92,0.105,0.0855,113.875,"

[Instrumental]

[Verse: AURORA, iris]
Hmm
Hmm
Hmm
Ah-ah-ah-ah
Ah-ah-ah-ah
Ah-ah-ah-ah, ah-ah-ah, ah-ah-ah, ah
Ooh-ooh, hmm
Ah-ah-ah-ah
Ooh-ooh, hmm
Ah-ah-ah-ah
Sofia

[Instrumental]

"
